item_title,item_desc,link
Marabar Caves,"The Marabar Caves are fictional caves in the novel A Passage to India and the film of the same name. The caves are based on the real life Barabar Caves located in the Jehanabad District of Bihar, India. They serve as an important plot location and motif in the novel. Key features of the caves are the glass smooth walls and a peculiar resonant echo magnifying any sound made in the caves.Among many others, the main characters, Mrs. Moore, Adela Quested, and Dr.",http://en.wikipedia.org/wiki/Marabar_Caves
Muhammad Qasim Sadiq,"Muhammad Qasim Sadiq, also known as Baba Ji Sarkar (1842? - November 21, 1943) was a Sufi saint who died at the town of Mohra Sharif, near the hill station Murree, now located in Pakistan. His urs is held at this location.",http://en.wikipedia.org/wiki/Muhammad_Qasim_Sadiq
2013 Brooklyn Italians season,"The 2013 Brooklyn Italians season will be the club's 65th season of existence, and their third consecutive season in the National Premier Soccer League, the fourth division of both the American and Canadian soccer pyramids.",http://en.wikipedia.org/wiki/2013_Brooklyn_Italians_season
Kapitan Keling,"Historically, a Kapitan Keling was a representative of the Indian community in a South East Asian city, similar to the more widespread office of the ""Kapitan Cina"" for the Chinese community. ""Keling"" is a Malay term for people of Indian origin, nowadays considered offensive but was not so regarded historically.Cauder Mohideen was the first Kapitan Keling of Penang.",http://en.wikipedia.org/wiki/Kapitan_Keling
Nityananda sex scandal,"The Nityananda sex scandal refers to a video of godman Swami Nithyananda in a compromising position with Tamil actress Ranjitha in the godman's ashram in Bidadi. Telecasted by the Tamil television Sun TV on 3 March 2010, the video created a furore in India. Nityananda was eventually arrested in Himachal Pradesh on April 21, 2010 and brought to Bangalore where he stood trial for rape and unnatural sex. Zee News later listed this episode in the top five sex-scandals in India.",http://en.wikipedia.org/wiki/Nityananda_sex_scandal
Bodh people,The Bodh people are a community found in Himachal Pradesh.,http://en.wikipedia.org/wiki/Bodh_people
Navy Midshipmen baseball,"For information on all United States Naval Academy sports, see Navy MidshipmenThe Navy Midshipmen baseball team is a varsity intercollegiate athletic team of the United States Naval Academy in Annapolis, Maryland, USA. The team is a member of the Patriot League, which is part of the National Collegiate Athletic Association's Division I. Navy's first baseball team was fielded in 1893. The team plays its home games at Terwilliger Brothers Field at Max Bishop Stadium in Annapolis, Maryland.",http://en.wikipedia.org/wiki/Navy_Midshipmen_baseball
Prospect Electricity,"Prospect Electricity was the state-owned corporation owned by the Government of New South Wales responsible for retailing electricity to consumers in the Greater Western Sydney region between 1991 and 1996.It was originally founded in 1957 as the Prospect County Council, as a spin-off from the Sydney County Council, which was responsible for supplying electricity to much of the eastern half of Sydney. As with the Sydney County Council, it was initially controlled by local councils in the area.",http://en.wikipedia.org/wiki/Prospect_Electricity
Aérospatiale-Matra,"Aérospatiale-Matra was a French missile and aircraft manufacturer. It was formed in 1999 by the merger of French companies Aérospatiale and Matra Haute Technologie. It was short-lived as a company; on July 10, 2000, it merged with DaimlerChrysler Aerospace AG (DASA) of Germany and Construcciones Aeronáuticas SA (CASA) of Spain to form EADS.",http://en.wikipedia.org/wiki/Aérospatiale-Matra
Big East Conference (1979–2013),"The Big East Conference was a collegiate athletics conference that consisted of as many as 16 universities in the eastern half of the United States from 1979 to 2013. The conference's members participated in 24 NCAA sports. Three members had football programs but were not Big East football schools: Notre Dame football was independent while Georgetown and Villanova competed in the Football Championship Subdivision. Another five schools—DePaul, Marquette, Seton Hall, St.",http://en.wikipedia.org/wiki/Big_East_Conference_(1979–2013)
French Resistance,"The French Resistance (French: la Résistance ""the Resistance"") is the name used to denote the collection of French resistance movements that fought against the Nazi German occupation of France and against the collaborationist Vichy régime during World War II.",http://en.wikipedia.org/wiki/French_Resistance
Great Northwest Athletic Conference,"The Great Northwest Athletic Conference (GNAC) is a collegiate athletic conference which has historically operated in the northwestern United States, but also currently includes four schools in areas not usually considered part of that region—two in Alaska (neither of which is located in Southeast Alaska, an area often considered part of the Northwest), one in eastern Montana (almost never considered part of the region), and one in the Canadian province of British Columbia (an area included with the Northwest U.S. ",http://en.wikipedia.org/wiki/Great_Northwest_Athletic_Conference
Kassites,"The Kassites were an ancient Near Eastern people who controlled Babylonia after the fall of the Old Babylonian Empire ca. 1531 BC and until ca. 1155 BC (short chronology).The Kassites gained control of Babylonia after the Hittite sack of the city in 1595 BC (i.e. 1531 BC per the short chronology), and established a dynasty based in Dur-Kurigalzu.",http://en.wikipedia.org/wiki/Kassites
Kubera,"Kubera (Sanskrit: कुबेर, Pali/later Sanskrit: Kuvera) also spelt Kuber, is the Lord of Wealth and the god-king of the semi-divine Yakshas in Hindu mythology. He is regarded as the regent of the North (Dik-pala), and a protector of the world (Lokapala). His many epithets extol him as the overlord of numerous semi-divine species and the owner of the treasures of the world.",http://en.wikipedia.org/wiki/Kubera
Mid-Eastern Athletic Conference,The Mid-Eastern Athletic Conference (MEAC) is a collegiate athletic conference of historically black colleges and universities (HBCUs) in the Southeastern United States.,http://en.wikipedia.org/wiki/Mid-Eastern_Athletic_Conference
