item_title,item_desc,link
My Lai Massacre,"The Mỹ Lai Massacre (Vietnamese: thảm sát Mỹ Lai [tʰɐ̃ːm ʂɐ̌ːt mǐˀ lɐːj], [mǐˀlɐːj] ; /ˌmiːˈlaɪ/, /ˌmiːˈleɪ/, or /ˌmaɪˈlaɪ/) was the Vietnam War mass murder of between 347 and 504 unarmed civilians in South Vietnam on March 16, 1968. It was committed by the U.S. Army soldiers from the Company C of the 1st Battalion, 20th Infantry Regiment, 11th Brigade of the 23rd (Americal) Infantry Division. Victims included men, women, children, and infants.",http://en.wikipedia.org/wiki/My_Lai_Massacre
Patriot League,The Patriot League is a collegiate athletic conference comprising private institutions of higher education and two United States service academies based in the Northeastern United States.,http://en.wikipedia.org/wiki/Patriot_League
Pioneer Football League,"The Pioneer Football League is a collegiate athletic conference which operates in the East, Midwest, and California of the United States. It has member schools that range from New York, North Carolina, and Florida in the east to California in the west. The conference participates in the NCAA's Division I Football Championship Subdivision (FCS) as a football-only conference.",http://en.wikipedia.org/wiki/Pioneer_Football_League
Shamgar,"Shamgar, son of Anath (Hebrew: שמגר בן־ענת‎) is the name of one or possibly two individuals named in the Book of Judges.",http://en.wikipedia.org/wiki/Shamgar
Western Athletic Conference,"The Western Athletic Conference (WAC) is an American collegiate athletic conference affiliated with the National Collegiate Athletic Association (NCAA) Division I which was formed on July 27, 1962.",http://en.wikipedia.org/wiki/Western_Athletic_Conference
Zapatista Army of National Liberation,"The Zapatista Army of National Liberation (Ejército Zapatista de Liberación Nacional, EZLN), often referred to as the Zapatistas, is a revolutionary leftist group based in Chiapas, the southernmost state of Mexico.Since 1994, the group has been in a declared war ""against the Mexican state"", although this war has been primarily defensive, against military, paramilitary and corporate incursions into Chiapas.[citation needed] In recent years, it has been focused on a strategy of civil resistance.",http://en.wikipedia.org/wiki/Zapatista_Army_of_National_Liberation
Ariarathes X of Cappadocia,"Ariarathes X, surnamed Eusebes Philadelphos, ""Pious, brother-loving"" (Ancient Greek: Ἀριαράθης Εὐσεϐής Φιλάδελφος, Ariaráthēs Eusebḗs Philádelphos), was the king of Cappadocia from ca. 42 BC to 36 BC. He was of Persian and Greek ancestry. His father was King Ariobarzanes II of Cappadocia and his mother was Queen Athenais. He became king after his brother Ariobarzanes III Philoromaios was killed.",http://en.wikipedia.org/wiki/Ariarathes_X_of_Cappadocia
Basell Polyolefins,Basell Polyolefins was a joint venture between BASF and Royal Dutch Shell. Leonard Blavatnik's Access Industries acquired it from the venturers for $5.7 billion in August 2005.,http://en.wikipedia.org/wiki/Basell_Polyolefins
Commercial Bank of Australia,"The Commercial Bank of Australia (CBA, 1866 – 1982) was an Australian and New Zealand retail bank which merged into the Bank of New South Wales bank in 1982, to form Westpac. In New Zealand it was one of the partners in Databank Systems Limited, formed in 1967-68 to provide computer resources for New Zealand trading banks. The bank was known as the CBA, but that should not be confused with the Commonwealth Bank which is called the CBA today.",http://en.wikipedia.org/wiki/Commercial_Bank_of_Australia
Division I (NCAA),Division I (D-I) is the highest level of intercollegiate athletics sanctioned by the National Collegiate Athletic Association (NCAA) in the United States.,http://en.wikipedia.org/wiki/Division_I_(NCAA)
East Indian Railway Company,"The East Indian Railway Company, later known as the East Indian Railway (EIR), introduced railways to eastern and northern India, while the Companies such as the Great Indian Peninsular Railway, South Indian Railway, Central India Railway and the North-Western Railway operated in other parts of India. The company was established 1 June 1845 in London by a deed of settlement with a capital of £4,000,000, largely raised in London.",http://en.wikipedia.org/wiki/East_Indian_Railway_Company
G. D. Searle & Company,"G.D. Searle & Company or just Searle was a company focusing on life sciences, specifically pharmaceuticals, agriculture, and animal health. It is now part of Pfizer.",http://en.wikipedia.org/wiki/G._D._Searle_&_Company
Geeta and Sanjay Chopra kidnapping case,"The Geeta and Sanjay Chopra kidnapping case was a notorious crime in New Delhi in 1978. Two children, Geeta and Sanjay Chopra, were kidnapped by two young men, Ranga Khus (Kuljeet Singh) and Billa (Jasbir Singh), who planned to demand ransom from their parents. On finding that their father was a naval officer, they dropped the idea. To eliminate evidence, they subsequently murdered Sanjay, raped Geeta and then killed her as well. They then fled the city.",http://en.wikipedia.org/wiki/Geeta_and_Sanjay_Chopra_kidnapping_case
Italian participation in the Eastern Front,"The Italian participation in the Eastern Front during World War II began after the launch of Operation Barbarossa on 22 June 1941. Barbarossa was the German war against the Soviet Union. To show solidarity with the Germans, Italian dictator Benito Mussolini ordered a contingent of the Italian Royal Army to be prepared for the Eastern Front and, by early July, an Italian force was in transport.",http://en.wikipedia.org/wiki/Italian_participation_in_the_Eastern_Front
Judge Advocate General's Corps,"Judge Advocate General's Corps, also known as JAG or JAG Corps, refers to the legal branch or specialty of a military concerned with military justice and military law. Officers serving in a JAG Corps are typically called Judge Advocates.Judge Advocates serve primarily as legal advisors to the command to which they are assigned. In this function, they can also serve as the personal legal advisor to their commander.",http://en.wikipedia.org/wiki/Judge_Advocate_General's_Corps
Nissan Clipper,"The Nissan Clipper nameplate has been used for two separate commercial vehicle ranges. Originally this was just a relabelled version of Prince's ""Clipper"" light/medium duty commercial vehicle range. In 2003 the nameplate was revived for a relabelled version of the Mitsubishi Minicab, a Kei truck provided in an OEM deal.",http://en.wikipedia.org/wiki/Nissan_Clipper
Prince Homer,"The Prince Homer was a small commercial vehicle manufactured by the now defunct Prince Motor Company. It was available as a van, called the Homy, a double cab, or regular cab truck. The first model was known as the T64, and was sold as the Prince Homer or PMC T64. The T640 was introduced in 1966 and was sold as a Nissan (without any modifications aside from badging) due to Prince merging with Nissan.",http://en.wikipedia.org/wiki/Prince_Homer
Ursaab,"Ursaab, also known as 92001 and X9248, was the first of four prototype cars made by Saab AB, which at that time was solely an aeroplane manufacturer, leading to production of the first Saab car, the Saab 92 in 1949. The car is now in the Saab Car Museum in Trollhättan. The name ""Ursaab"" means ""original Saab"".",http://en.wikipedia.org/wiki/Ursaab
2003–04 in English football,The 2003–04 season was the 124th season of Association football in England.,http://en.wikipedia.org/wiki/2003–04_in_English_football
Ford Essex V4 engine,"The Essex V4 was a 60° V4 engine from Ford Motor Company made at the plant in Essex. The engine was available in two capacities, 1663 cc and 1996 cc, differing only in stroke. This engine was used on the Ford Corsair, Capri Mk I, Consul/Granada Mk I, Ford Zephyr 4 Mk IV and certain early models of the Ford Transit van.",http://en.wikipedia.org/wiki/Ford_Essex_V4_engine
2002–03 in English football,The 2002-03 season was the 123rd season of competitive football in England.,http://en.wikipedia.org/wiki/2002–03_in_English_football
Danish Football Association,"The Danish Football Association (DBU) (Danish: Dansk Boldspil-Union; DBU) is the governing body of football in Denmark. It is the organization of the Danish football clubs and runs the professional Danish football leagues and the men's and women's national teams. It is based in the city of Brøndby and is a founding member of both FIFA and UEFA. From 2008, the DBU is also the governing body of futsal in Denmark.",http://en.wikipedia.org/wiki/Danish_Football_Association
College soccer,College soccer is association football played by teams who are operated by colleges and universities as opposed to a professional league operated for exclusively financial purposes.,http://en.wikipedia.org/wiki/College_soccer
Aero Ae 02,"The Aero Ae 02 was the first fighter aircraft to be designed and built in Czechoslovakia, first flying in 1920.Designed by Husnik and Vlasak, it was of conventional biplane configuration. The orthodox two spar upper wing was straight, without dihedral and constructed in one piece, was supported above the fuselage on two sets of outward sloping N struts and an inverted V cabane. The lower wing was in two sections attached to stub 'winglets' on the fuselage.",http://en.wikipedia.org/wiki/Aero_Ae_02
Tribal Youth Federation,Tribal Youth Federation (in Bengali Upajati Juba Federation) is an organization affiliated to Democratic Youth Federation of India in Tripura. TYF organizes youth from the tribal populations of the state. TYF has a separate central committee and publishes Bini Kharad (Our Voice).,http://en.wikipedia.org/wiki/Tribal_Youth_Federation
DK Leather,Apacbiotech PVT LTD is a Indian Cancer Research Center in Gurgaon.,http://en.wikipedia.org/wiki/DK_Leather
